yyyymmdd,RET_US,RET_DE,RET_JP,RET_BR,RET_RU,RET_IN,RET_CN,NBER_recess_indicator
9/5/1995,0.009408636,0.006427244,-0.001575452,0.009445976,0.006193207,-0.006660091,0.002176342,0
9/6/1995,0.001755403,0.005411762,-0.00237496,-0.002874984,-0.00679459,0.004574066,0.019018832,0
9/7/1995,0.000210441,-0.004026311,0.000661858,0,0.015519611,0.003534012,0.000396346,0
9/8/1995,0.004182093,0.002518893,0.021856717,-0.004052155,0,0.003603954,-0.003803722,0
9/11/1995,0.002145493,-0.005694151,0.012629941,0.023337519,-0.004551309,-1.37E-05,0.033041041,0
9/12/1995,0.004520096,0.004431094,0.0004604,0.013936836,-0.005967792,-0.001690339,-0.016056008,0
9/13/1995,0.003912476,0.010796569,0.009109312,0.007139029,-0.010832603,-0.004673582,-0.000328055,0
9/14/1995,0.008327789,0.00192802,0.00824417,0.015312567,-0.003637102,0.002856376,-0.006736249,0
9/15/1995,-0.000445602,0.00740757,0,-0.001810181,0.005047966,0.001762188,-0.003245,0
9/18/1995,-0.000994752,-0.006755583,-0.013951722,0.010276475,0.005423334,-0.001403992,0.002240812,0
9/19/1995,0.002450793,0.004279505,0.002468622,0.002017998,-0.003009331,-0.001061184,-0.028286069,0
9/20/1995,0.00438953,-0.002686101,-0.009600908,-0.017556325,-0.003522371,0.001735896,-0.01499982,0
9/21/1995,-0.006445734,-0.007734556,-0.008420578,-0.017529118,-0.029880459,0.002735491,0.007435765,0
9/22/1995,-0.002180764,-0.033578684,-0.017948588,-0.004227433,-0.023542864,0.00335757,-0.001451054,0
9/25/1995,0.000137511,-0.001529343,-0.003141368,-0.020469973,-0.030997676,0.011115685,-0.009070477,0
9/26/1995,-0.000687746,0.008764195,0.008824585,-0.007694791,-0.035506688,0.00485903,0.00780238,0
9/27/1995,-0.000636587,-0.019219814,0.015833382,0.000879894,0.002157253,-0.00972819,-0.029142663,0
9/28/1995,0.008278321,-0.006205612,-0.005126934,0.004103268,0.010155808,-0.002804745,0.004277544,0
9/29/1995,-0.002495131,0.006937462,0.001663228,0.022389641,-0.034029317,0.004584262,0.016329801,0
10/2/1995,-0.004613559,0.008187548,-0.011250962,-0.028694098,-0.036552653,0,0,0
10/3/1995,0.001065237,0,0.015621993,-0.007476092,-0.05714424,0,0,0
10/4/1995,-0.00149509,0.005761098,0.00519948,-0.017446274,-0.084197263,-0.003453249,-0.00675493,0
10/5/1995,0.001992957,-0.004039241,0.002984543,0.016224446,0.040388928,0.005608875,0.010108717,0
10/6/1995,-0.000240319,-0.0170725,0.008192507,0.003528123,-0.011663112,0.013585521,-0.006839252,0
10/9/1995,-0.007098216,-0.001262638,-0.010454166,-0.012908008,0.041080861,0.003960084,-0.019683574,0
10/10/1995,-0.001470728,-0.013892401,0,-0.010647278,-0.01106134,-0.004962591,0.003581817,0
10/11/1995,0.003353562,0.003048505,-0.018055545,0.020471636,-0.008146149,-0.001378415,0.003284521,0
10/12/1995,0.006262063,0.00595807,-0.000644899,0,0.008930976,-0.002681973,-0.009338865,0
10/13/1995,0.002398083,0.01777794,-0.000617249,0.002862121,0.01299057,0.001019997,-0.001656321,0
10/16/1995,-0.002518138,-0.00245655,0.004228928,0.007944256,0.007970218,-0.004557777,-0.002317975,0
10/17/1995,0.00641132,0.004366571,0.000230536,0.015571815,0.00714471,-0.003807317,0.001769827,0
10/18/1995,0.001124151,-0.00282995,-0.00466296,-0.004185331,0.004313085,-0.000595359,0.020916611,0
10/19/1995,0.005449512,-0.006954109,0.006519284,-0.003635695,0.003285735,-0.009505943,-0.020615092,0
10/20/1995,-0.005415467,-0.004188425,0.007958375,0.018111974,0.001134859,-0.010604786,0.034373291,0
10/23/1995,-0.004093753,-0.029488498,-0.000394342,-0.022724558,-0.002397326,-0.001990601,-0.004312382,0
10/24/1995,0.002526461,0.002928204,-0.004361959,-0.007853012,-0.001011122,0,0.001089802,0
10/25/1995,-0.006963185,0.017135651,-0.003627468,-0.041574968,0.000758438,0,0.051693034,0
10/26/1995,-0.009920802,-0.008542849,-0.013072816,-0.067492679,-0.013100346,-0.017828322,-0.039940466,0
10/27/1995,0.005153848,-0.016916523,-0.018984187,0.019583842,-0.029228553,0.003964466,-0.012895562,0
10/30/1995,0.006105183,0.023587967,0.007126509,-0.01741886,-0.013002704,-0.003443409,0.00055837,0
10/31/1995,-0.003004939,0.010106669,0.009097767,0.014468078,-0.017785432,-0.004359888,-0.008287838,0
11/1/1995,0.004666652,-0.002165717,-0.003684657,-0.006951731,-0.011760015,0.010059669,0.009005284,0
11/2/1995,0.009370224,0.009551048,0.020813922,0,-0.065511025,-0.00165324,-0.002286992,0
11/3/1995,0.001440324,-0.001035344,0,0.014288379,0.027379127,-0.001389152,0.008734143,0
11/6/1995,-0.003579217,-0.007328366,0.000292534,-0.015630809,0,-0.008687245,0.012184476,0
11/7/1995,-0.003643239,0.00422968,-0.00052941,0.004119194,0,0,-0.008456987,0
